statement,true,animals,cities,companies,elements,facts,generated,inventions,split
The giant anteater uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The eagle has a habitat of urban/wild.,0,1,0,0,0,0,0,0,calibration
The tortoise has an iridescent tail with eye-like patterns used in courtship displays.,0,1,0,0,0,0,0,0,test
"Human uses for hyena include conservation, research.",0,1,0,0,0,0,0,0,train
The platypus uses swimming for locomotion.,1,1,0,0,0,0,0,0,train
The salmon is a fish.,1,1,0,0,0,0,0,0,train
The aardvark has a diet of insectivore.,1,1,0,0,0,0,0,0,train
The beaver has a habitat of forest/grassland.,0,1,0,0,0,0,0,0,calibration
The penguin has a habitat of marine/polar.,1,1,0,0,0,0,0,0,test
The whale uses swimming for locomotion.,1,1,0,0,0,0,0,0,test
The dog has a strong sense of smell and is known for its loyalty to humans.,1,1,0,0,0,0,0,0,train
The chicken uses walking for locomotion.,1,1,0,0,0,0,0,0,calibration
The gazelle has distinctive orange and black stripes and is an apex predator.,0,1,0,0,0,0,0,0,calibration
The walrus has a diet of carnivore.,1,1,0,0,0,0,0,0,train
The ostrich uses running for locomotion.,1,1,0,0,0,0,0,0,train
The octopus has a diet of carnivore.,1,1,0,0,0,0,0,0,train
"The octopus is a small, social bird that can be found in many urban environments.",0,1,0,0,0,0,0,0,train
The iguana has a diet of herbivore.,1,1,0,0,0,0,0,0,train
"The whale is the largest animal on earth, with some species using baleen plates to filter food from water.",1,1,0,0,0,0,0,0,train
The frog has the atomic number of bird.,0,1,0,0,0,0,0,0,train
"The iguana is the fastest land animal, reaching speeds up to 60-70 mph.",0,1,0,0,0,0,0,0,test
The lobster is a crustacean.,1,1,0,0,0,0,0,0,train
"The aardvark has humps that store fat, which can be metabolized for energy and water during long treks.",0,1,0,0,0,0,0,0,train
The panda has a diet of herbivore.,1,1,0,0,0,0,0,0,train
"Human uses for cheetah include conservation, research, zoos.",1,1,0,0,0,0,0,0,train
The jellyfish uses walking/swimming for locomotion.,0,1,0,0,0,0,0,0,test
"The wolverine is the largest animal on earth, with some species using baleen plates to filter food from water.",0,1,0,0,0,0,0,0,train
The flamingo has a habitat of coastal/alkaline lakes.,1,1,0,0,0,0,0,0,train
"Human uses for snake include pets, research, venom extraction.",1,1,0,0,0,0,0,0,train
"The goldfish has antlers that are shed and regrown annually, and is a good swimmer.",0,1,0,0,0,0,0,0,train
The raccoon is a mammal.,1,1,0,0,0,0,0,0,test
The swan uses walking for locomotion.,0,1,0,0,0,0,0,0,train
The octopus uses swimming for locomotion.,1,1,0,0,0,0,0,0,train
The crocodile has a habitat of freshwater.,1,1,0,0,0,0,0,0,calibration
The zebra uses flying for locomotion.,0,1,0,0,0,0,0,0,calibration
The horse is a mammal.,1,1,0,0,0,0,0,0,calibration
The kangaroo has a habitat of savanna.,0,1,0,0,0,0,0,0,train
The giant anteater has the atomic number of fish.,0,1,0,0,0,0,0,0,train
The crocodile uses walking for locomotion.,0,1,0,0,0,0,0,0,test
The gazelle uses running for locomotion.,1,1,0,0,0,0,0,0,train
"The narwhal has a long, spiral tusk, which is actually an elongated tooth, and can dive to great depths.",1,1,0,0,0,0,0,0,train
The frog uses jumping for locomotion.,1,1,0,0,0,0,0,0,train
The pigeon has a habitat of desert.,0,1,0,0,0,0,0,0,train
The aardvark has the atomic number of fish.,0,1,0,0,0,0,0,0,calibration
The deer has a habitat of forest/grassland.,1,1,0,0,0,0,0,0,train
The squirrel has a habitat of marine.,0,1,0,0,0,0,0,0,test
The polar bear has a habitat of polar.,1,1,0,0,0,0,0,0,train
The hummingbird is a bird.,1,1,0,0,0,0,0,0,train
The armadillo is a mammal.,1,1,0,0,0,0,0,0,train
The hamster has a powerful bite and can go without food for long periods of time.,0,1,0,0,0,0,0,0,train
The armadillo has a diet of insectivore.,1,1,0,0,0,0,0,0,calibration
The parrot has a diet of omnivore.,1,1,0,0,0,0,0,0,test
